"Molecule.ChEMBL.ID","Smiles","Standard.Type","Standard.Relation","Standard.Value","Standard.Units","pChEMBL.Value","Target.ChEMBL.ID","Target.Name","Document.ChEMBL.ID","Assay.Description","Document.Journal","Document.Year","Molecular.Weight","AlogP"
"CHEMBL553212","C[n+]1ccn(CCN2CCCC2)c1\C=N\O","IC50","'='",17900,"nM",4.75,"CHEMBL220","Acetylcholinesterase","CHEMBL1125664","In vitro concentration of compound required for reversibly inhibiting 50% of human anticholinesterase activity","J. Med. Chem.",1991,258.75,0.22
"CHEMBL87320","COCC[N+]1(C)CCC(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)CC1","IC50","'='",53,"nM",7.28,"CHEMBL220","Acetylcholinesterase","CHEMBL1135325","Concentration required for the inhibition of acetylcholinesterase","Bioorg. Med. Chem. Lett.",2002,486.47,4.38
"CHEMBL224981","COc1cc2Oc3cc(OCCCCCCCN(C)Cc4ccccc4)ccc3C(=O)c2cc1OC","IC50","'='",2320,"nM",5.63,"CHEMBL220","Acetylcholinesterase","CHEMBL1144481","Inhibition of human erythrocyte AchE","Bioorg. Med. Chem.",2007,489.61,6.42
"CHEMBL153311","CNC(=C(C#N)C#N)NCCNCc1oc(CN(C(C)C)C(C)C)cc1","IC50","'='",2100,"nM",5.68,"CHEMBL220","Acetylcholinesterase","CHEMBL1126972","Inhibition of guinea pig acetylcholinesterase","J. Med. Chem.",1993,358.49,2.06
"CHEMBL155111","N#CC(=C1NCCN1CCNCc2oc(CN3CCCC3)cc2)C#N","IC50","'='",80,"nM",7.1,"CHEMBL220","Acetylcholinesterase","CHEMBL1126972","Inhibition of guinea pig acetylcholinesterase","J. Med. Chem.",1993,340.43,1.13
"CHEMBL1203534","N#CC(=C1NCCN1CCNCc2oc(CN3CCC=CC3)cc2)C#N","IC50","'='",95,"nM",7.02,"CHEMBL220","Acetylcholinesterase","CHEMBL1126972","Inhibition of guinea pig acetylcholinesterase","J. Med. Chem.",1993,388.9,1.3
"CHEMBL87128","CC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1","IC50","'='",280,"nM",6.55,"CHEMBL220","Acetylcholinesterase","CHEMBL1135325","Concentration required for the inhibition of acetylcholinesterase","Bioorg. Med. Chem. Lett.",2002,436.37,4.04
"CHEMBL435373","CC1=CC2Cc3nc(O)ccc3C(N)(C1)/C/2=C/C(F)(F)F","IC50","'='",2000,"nM",5.7,"CHEMBL220","Acetylcholinesterase","CHEMBL1129143","In vitro inhibitory activity against Acetylcholinesterase (AChE).","Bioorg. Med. Chem. Lett.",1996,296.29,2.95
"CHEMBL314800","Nc1c2SCc3ccccc3c2nc4ccccc14","IC50","'='",18580,"nM",4.73,"CHEMBL220","Acetylcholinesterase","CHEMBL1149992","Compound was tested in vitro for inhibitory activity against Acetylcholinesterase","Bioorg. Med. Chem. Lett.",1997,264.35,4.09
"CHEMBL64011","CN1CC[C@]2(C)[C@H]1N(C)c3ccc(OC(=O)NCCCCCCCCCN4CCOCC4)cc23","IC50","'='",60,"nM",7.22,"CHEMBL220","Acetylcholinesterase","CHEMBL1128816","Inhibition of Acetylcholinesterase (AChE) from human RBC","Bioorg. Med. Chem. Lett.",1995,472.67,4.21
"CHEMBL93123","O=C(Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1)c5ccccc5","IC50","'='",9.4,"nM",8.03,"CHEMBL220","Acetylcholinesterase","CHEMBL1127437","Evaluated for the in vitro inhibition of the Acetylcholinesterase (AChE) from human erythrocytes","J. Med. Chem.",1994,439.56,5.92
