Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID
CHEMBL611732,,0,707.06,2,10.48,16,CCN(CCCCCCNc1ccc(CCc2ccc(NCCCCCCN(CC)Cc3ccccc3OC)cc2)cc1)Cc4ccccc4OC,IC50,'=',95499.26,nM,4.02,,,UO_0000065,5.69,0.11,-6.46,8.2,FALSE,CHEMBL917210,Inhibition of human recombinant BChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1149275,1,Scientific Literature,J. Med. Chem.,2004,
CHEMBL422977,,0,568.89,2,6.83,5,COc1ccccc1CNCCCCCCNCCCCCCCNCCCCCCNCc2ccccc2OC,IC50,'=',2.69153E+14,nM,,Outside typical range,,UO_0000065,,,,,FALSE,CHEMBL655896,Inhibition of Butyrylcholinesterase (BChE) of human erythrocytes [-log IC50 (uM)],B,BAO_0000019,assay format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1131149,1,Scientific Literature,J. Med. Chem.,1998,
CHEMBL134061,,0,406.82,0,3.55,3b,FC(F)(F)CSc1nc(nn1C(=O)N2CCOCC2)c3ccc(Cl)cc3,IC50,'>',50000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,BAO_0000357,single protein format,,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1148382,1,Scientific Literature,J. Med. Chem.,2004,
CHEMBL334395,,0,324.84,0,3.63,2b,CCCSc1nc(nn1C(=O)N(C)C)c2ccc(Cl)cc2,IC50,'=',100,nM,7,,,UO_0000065,21.55,0.46,3.37,13.72,FALSE,CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,BAO_0000357,single protein format,,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1148382,1,Scientific Literature,J. Med. Chem.,2004,
CHEMBL225327,,0,519.09,2,6.81,28,Clc1ccc2c(NCCCCCCNC(=O)CCOc3c[nH]c4ccccc34)c5CCCCc5nc2c1,IC50,'=',60,nM,7.22,,,UO_0000065,13.91,0.27,0.41,9.14,FALSE,CHEMBL914527,Inhibition of human serum BChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1139473,1,Scientific Literature,J. Med. Chem.,2005,
CHEMBL223277,,0,505.06,2,6.42,27,Clc1ccc2c(NCCCCCNC(=O)CCOc3c[nH]c4ccccc34)c5CCCCc5nc2c1,IC50,'=',136,nM,6.87,,,UO_0000065,13.6,0.26,0.45,8.69,FALSE,CHEMBL914527,Inhibition of human serum BChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1139473,1,Scientific Literature,J. Med. Chem.,2005,
CHEMBL426015,,0,503.09,2,7.05,22,Cn1cc(C(=O)NCCCCCCCNc2c3CCCCc3nc4cc(Cl)ccc24)c5ccccc15,IC50,'=',206,nM,6.69,,,UO_0000065,13.29,0.25,-0.36,11.34,FALSE,CHEMBL914527,Inhibition of human serum BChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1139473,1,Scientific Literature,J. Med. Chem.,2005,
CHEMBL388627,,0,489.06,1,7.04,16,Clc1ccc2c(NCCCCCCCNC(=O)c3c[nH]c4ccccc34)c5CCCCc5nc2c1,IC50,'=',19,nM,7.72,,,UO_0000065,15.79,0.3,0.68,11.06,FALSE,CHEMBL914527,Inhibition of human serum BChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1139473,1,Scientific Literature,J. Med. Chem.,2005,
CHEMBL224998,,0,475.04,1,6.65,15,Clc1ccc2c(NCCCCCCNC(=O)c3c[nH]c4ccccc34)c5CCCCc5nc2c1,IC50,'=',1.7,nM,8.77,,,UO_0000065,18.46,0.35,2.12,12.56,FALSE,CHEMBL914527,Inhibition of human serum BChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1139473,1,Scientific Literature,J. Med. Chem.,2005,
CHEMBL130704,,0,318.4,0,2.28,3d,CSc1nc(nn1C(=O)N2CCOCC2)c3ccc(C)cc3,IC50,'=',2000,nM,5.7,,,UO_0000065,17.9,0.35,3.42,9.46,FALSE,CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,BAO_0000357,single protein format,,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1148382,1,Scientific Literature,J. Med. Chem.,2004,
CHEMBL224433,,0,429.56,1,6.41,7,CN(CCCCCCCOc1ccc2C(=O)c3ccccc3Oc2c1)Cc4ccccc4,IC50,'=',800,nM,6.1,,,UO_0000065,14.19,0.26,-0.31,14.29,FALSE,CHEMBL915961,Inhibition of human serum BuChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1144481,1,Scientific Literature,Bioorg. Med. Chem.,2007,
CHEMBL390737,,0,415.53,1,6.02,6,CN(CCCCCCOc1ccc2C(=O)c3ccccc3Oc2c1)Cc4ccccc4,IC50,'=',1430,nM,5.84,,,UO_0000065,14.07,0.26,-0.18,13.69,FALSE,CHEMBL915961,Inhibition of human serum BuChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1144481,1,Scientific Literature,Bioorg. Med. Chem.,2007,
CHEMBL225611,,0,387.48,1,5.24,4,CN(CCCCOc1ccc2C(=O)c3ccccc3Oc2c1)Cc4ccccc4,IC50,'=',2650,nM,5.58,,,UO_0000065,14.39,0.26,0.34,13.07,FALSE,CHEMBL915961,Inhibition of human serum BuChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1144481,1,Scientific Literature,Bioorg. Med. Chem.,2007,
CHEMBL223232,,0,274.32,0,2.37,16,Cc1cc(CO)c(O)c(c1)c2cc(C)cc(CO)c2O,IC50,'>',50000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL917650,Inhibition of human serum BChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1142967,1,Scientific Literature,J. Med. Chem.,2007,
CHEMBL244837,,0,389.45,0,4.6,21,COc1cc2Oc3cc(CN(C)Cc4ccccc4)ccc3C(=O)c2cc1OC,IC50,'>',0.00001,nM,,Outside typical range,,UO_0000065,,,,,FALSE,CHEMBL894086,Inhibition of human recombinant BChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1148720,1,Scientific Literature,J. Med. Chem.,2007,
CHEMBL243130,,0,429.52,1,5.42,10,COc1cc2OC(=O)C(=Cc2cc1OC)c3ccc(CN(C)Cc4ccccc4C)cc3,IC50,'>',0.00001,nM,,Outside typical range,,UO_0000065,,,,,FALSE,CHEMBL894086,Inhibition of human recombinant BChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1148720,1,Scientific Literature,J. Med. Chem.,2007,
CHEMBL413794,,0,385.46,1,5.1,5,COc1ccc2OC(=O)C(=Cc2c1)c3cccc(CN(C)Cc4ccccc4)c3,IC50,'=',136000,nM,,Outside typical range,,UO_0000065,,,,,FALSE,CHEMBL894086,Inhibition of human recombinant BChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1148720,1,Scientific Literature,J. Med. Chem.,2007,
CHEMBL243532,,0,385.46,1,5.1,6,COc1ccc2OC(=O)C(=Cc2c1)c3ccc(CN(C)Cc4ccccc4)cc3,IC50,'=',1300000,nM,,Outside typical range,,UO_0000065,,,,,FALSE,CHEMBL894086,Inhibition of human recombinant BChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1148720,1,Scientific Literature,J. Med. Chem.,2007,
