"Molecule.ChEMBL.ID","Smiles","Standard.Type","Standard.Relation","Standard.Value","Standard.Units","pChEMBL.Value","Target.ChEMBL.ID","Target.Name","Document.ChEMBL.ID","Assay.Description","Document.Journal","Document.Year","Molecular.Weight","AlogP"
"CHEMBL611732","CCN(CCCCCCNc1ccc(CCc2ccc(NCCCCCCN(CC)Cc3ccccc3OC)cc2)cc1)Cc4ccccc4OC","IC50","'='",95499.26,"nM",4.02,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1149275","Inhibition of human recombinant BChE","J. Med. Chem.",2004,707.06,10.48
"CHEMBL334395","CCCSc1nc(nn1C(=O)N(C)C)c2ccc(Cl)cc2","IC50","'='",100,"nM",7,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1148382","Inhibitory concentration against butyrylcholinesterase.","J. Med. Chem.",2004,324.84,3.63
"CHEMBL225327","Clc1ccc2c(NCCCCCCNC(=O)CCOc3c[nH]c4ccccc34)c5CCCCc5nc2c1","IC50","'='",60,"nM",7.22,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1139473","Inhibition of human serum BChE","J. Med. Chem.",2005,519.09,6.81
"CHEMBL223277","Clc1ccc2c(NCCCCCNC(=O)CCOc3c[nH]c4ccccc34)c5CCCCc5nc2c1","IC50","'='",136,"nM",6.87,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1139473","Inhibition of human serum BChE","J. Med. Chem.",2005,505.06,6.42
"CHEMBL426015","Cn1cc(C(=O)NCCCCCCCNc2c3CCCCc3nc4cc(Cl)ccc24)c5ccccc15","IC50","'='",206,"nM",6.69,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1139473","Inhibition of human serum BChE","J. Med. Chem.",2005,503.09,7.05
"CHEMBL388627","Clc1ccc2c(NCCCCCCCNC(=O)c3c[nH]c4ccccc34)c5CCCCc5nc2c1","IC50","'='",19,"nM",7.72,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1139473","Inhibition of human serum BChE","J. Med. Chem.",2005,489.06,7.04
"CHEMBL224998","Clc1ccc2c(NCCCCCCNC(=O)c3c[nH]c4ccccc34)c5CCCCc5nc2c1","IC50","'='",1.7,"nM",8.77,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1139473","Inhibition of human serum BChE","J. Med. Chem.",2005,475.04,6.65
"CHEMBL130704","CSc1nc(nn1C(=O)N2CCOCC2)c3ccc(C)cc3","IC50","'='",2000,"nM",5.7,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1148382","Inhibitory concentration against butyrylcholinesterase.","J. Med. Chem.",2004,318.4,2.28
"CHEMBL224433","CN(CCCCCCCOc1ccc2C(=O)c3ccccc3Oc2c1)Cc4ccccc4","IC50","'='",800,"nM",6.1,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1144481","Inhibition of human serum BuChE","Bioorg. Med. Chem.",2007,429.56,6.41
"CHEMBL390737","CN(CCCCCCOc1ccc2C(=O)c3ccccc3Oc2c1)Cc4ccccc4","IC50","'='",1430,"nM",5.84,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1144481","Inhibition of human serum BuChE","Bioorg. Med. Chem.",2007,415.53,6.02
"CHEMBL225611","CN(CCCCOc1ccc2C(=O)c3ccccc3Oc2c1)Cc4ccccc4","IC50","'='",2650,"nM",5.58,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1144481","Inhibition of human serum BuChE","Bioorg. Med. Chem.",2007,387.48,5.24
"CHEMBL95","Nc1c2CCCCc2nc3ccccc13","IC50","'='",21,"nM",7.68,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1134774","Inhibition of butyrylcholinesterase from human serum","J. Med. Chem.",2001,198.27,2.7
"CHEMBL137059","CC[N+](C)(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCC[N+](C)(CC)Cc1ccccc1)Cc2ccccc2","IC50","'='",2511.89,"nM",5.6,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1136713","Inhibitory concentration against butyrylcholinesterase from human serum","J. Med. Chem.",2003,665.06,8.7
"CHEMBL143055","CCN(CCCCCC(=O)N(CCCCCCCCN(C(C)C)C(=O)CCCCCN(CC)Cc1ccccc1OC)C(C)C)Cc2ccccc2OC","IC50","'='",2137.96,"nM",5.67,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1136713","Inhibitory concentration against butyrylcholinesterase from human serum","J. Med. Chem.",2003,751.15,9.98
"CHEMBL79012","COc1ccc(CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc2ccc(OC)cc2)cc1","IC50","'='",5495.41,"nM",5.26,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1136713","Inhibitory concentration against butyrylcholinesterase from human serum","J. Med. Chem.",2003,666.99,7.65
"CHEMBL94217","CC(=O)Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1","IC50","'='",9000,"nM",5.05,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1128477","In vitro inhibition of Butyrylcholinesterase from human erythrocytes","J. Med. Chem.",1995,493.56,4.63
"CHEMBL1771556","COc1cc2CCN(Cc2cc1OC)c3cc[n+](Cc4ccc(C[n+]5ccc(cc5)N6CCCCC6)cc4)cc3","IC50","'='",620,"nM",6.21,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1770085","Inhibition of human BChE after 20 mins using butyrylthiocholine iodide as a substrate by Ellman's assay","J. Med. Chem.",2011,696.53,4.93
"CHEMBL308503","CN1CC[C@]2(C)[C@H]1N(C)c3ccc(OC(=O)NC(C)(C)C)cc23","IC50","'='",11000,"nM",4.96,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1124889","Inhibitory activity against Butyrylcholinesterase in cortex","J. Med. Chem.",1990,317.43,2.94
"CHEMBL54727","CN1CC[C@]2(C)C1N(C)c3ccc(OC(=O)Nc4ccccc4)cc23","IC50","'='",1300,"nM",5.89,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1130392","Inhibition of human Butyrylcholinesterase","J. Med. Chem.",1997,337.42,3.67
"CHEMBL453096","CN1CCC2(Cc3ccccc3)C1N(Cc4ccccc4)c5ccccc25","IC50","'='",22060,"nM",4.66,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1157353","Inhibition of human plasma BChE after 20 mins by Ellman's method","J. Med. Chem.",2008,354.5,4.85
